All,Year,Sex,Age,Sample,Savg,Lavg,Mavg,Sfa,Lfa,Mfa,Lratio,Sratio,Cayo,TOD
All,2019,F,4,59,50.55170822,226.062027,263.9418386,0.093518059,0.418203119,0.488278822,0.856484247,0.103165937,DD01595,10:02:00
All,2019,F,3,46,149.6506653,511.7805481,396.8000692,0.14141584,0.483618805,0.374965356,1.289769302,0.164708186,DD01615,10:06:00
All,2018,M,8,835,5.796537399,34.07095432,35.46329435,0.076947789,0.452284598,0.470767613,0.960738559,0.083362336,DD03236,10:13:00
All,2019,F,12,130,170.2704569,481.2863668,526.3683472,0.144551166,0.408588235,0.446860599,0.91435279,0.168976986,DD03750,10:15:00
All,2019,M,5,29,206.1826274,577.4476522,486.9489034,0.16227452,0.454475927,0.383249553,1.185848552,0.193708469,DD03315,10:17:00
All,2018,M,4,560,126.1939418,318.8701782,259.4382782,0.179124929,0.452617591,0.368257481,1.229079149,0.218212168,DD03323,10:18:00
All,2019,M,8,95,141.5541585,631.4451701,510.7626648,0.110265111,0.491870902,0.397863987,1.236279027,0.123930299,DD01505,10:21:00
All,2019,F,3,136,92.23300934,347.8485209,302.5497131,0.124197588,0.468400063,0.407402349,1.149723519,0.141810055,DD02778,10:22:00
All,2018,F,6,595,70.10231018,221.9269409,202.8658651,0.141650843,0.448432271,0.409916886,1.09395901,0.165027066,DD01538,10:23:00
All,2018,F,7,830,72.01654434,269.2743429,281.1636302,0.115697681,0.432600833,0.451701486,0.957713993,0.130834985,DD02684,10:23:00
All,2018,M,13,715,30.84669685,97.17194366,163.0212606,0.105987862,0.333878425,0.560133714,0.596069146,0.118553046,DD04886,10:24:00
All,2018,F,13,550,19.44196637,68.77937317,69.92041524,0.12294012,0.434922284,0.442137596,0.983680845,0.140173006,DD00822,10:28:00
All,2018,F,8,880,55.0481809,170.6763967,299.2892354,0.104850919,0.325089345,0.570059736,0.57027242,0.117132354,DD03829,10:30:00
All,2018,M,4,705,38.15,152.28,178.05,0.103533435,0.413265306,0.483201259,0.855265375,0.11549057,DD02753,10:37:00
All,2019,M,9,99,158.4580739,599.9029948,480.9967346,0.127854985,0.484043424,0.38810159,1.24720804,0.14659831,DD05544,10:37:00
All,2019,M,6,115,99.83231354,476.1077372,333.4113363,0.109784089,0.523568495,0.366647416,1.42798905,0.123322991,DD05612,10:41:00
All,2019,F,-1,60,117.4950587,558.3811442,509.3524882,0.099132817,0.471116797,0.429750387,1.09625683,0.110041545,DD08742,10:43:00
All,2019,F,9,30,107.7713903,360.2328796,268.5738881,0.146313584,0.489062669,0.364623747,1.341280354,0.171390315,DD02054,10:52:00
All,2019,F,3,47,172.2952932,507.0510152,548.3370361,0.140341802,0.413014494,0.446643704,0.924706853,0.163253026,DD02777,10:54:00
